date,country,total.confirmation,X,X.1
20200307,904,949,NA,NA
20200308,904,1126,NA,NA
20200309,904,1209,NA,NA
20200310,904,1784,NA,NA
20200311,904,2281,NA,NA
20200312,904,2281,NA,NA
20200313,904,3661,NA,NA
20200314,904,4469,NA,NA
20200315,904,4499,NA,NA
20200316,904,6633,NA,NA
20200317,904,7652,NA,NA
20200318,904,9043,NA,NA
20200319,904,10871,NA,NA
20200320,904,12612,NA,NA
20200321,904,14282,NA,NA
20200322,904,16018,NA,NA
20200323,904,19856,NA,NA
20200324,904,22304,NA,NA
20200325,904,25233,NA,NA
20200326,904,29155,NA,NA
20200327,904,32964,NA,NA
20200328,904,37575,NA,NA
20200329,904,40174,NA,NA
20200330,904,44550,NA,NA
20200331,904,52128,NA,NA
20200401,904,56989,NA,NA
20200402,904,59105,NA,NA
20200403,904,64338,NA,NA
20200404,904,89953,NA,NA
20200405,904,92839,NA,NA
20200406,904,98010,NA,NA
20200407,904,109069,NA,NA
20200408,904,112950,NA,NA
20200409,904,117749,NA,NA
20200410,904,124869,NA,NA
20200411,904,129654,NA,NA
20200412,904,132591,NA,NA
20200413,904,136779,NA,NA
20200414,904,143303,NA,NA
20200415,904,147863,NA,NA
20200416,904,147969,NA,NA
20200417,904,149492,NA,NA
20200418,904,151793,NA,NA
20200419,904,152894,NA,NA
20200420,904,155383,NA,NA
20200421,904,156511,NA,NA
20200422,904,158050,NA,NA
20200423,904,158183,NA,NA
20200424,904,159828,NA,NA
20200425,904,161488,NA,NA
20200426,904,162100,NA,NA
20200427,904,165842,NA,NA
20200428,904,165911,NA,NA
20200429,904,166420,NA,NA
20200430,904,167178,NA,NA
20200501,904,167346,NA,NA
20200502,904,168396,NA,NA
20191210,905,0,NA,NA
20191211,905,0,NA,NA
20191212,905,0,NA,NA
20191213,905,0,NA,NA
20191214,905,0,NA,NA
20191215,905,0,NA,NA
20191216,905,0,NA,NA
20191217,905,0,NA,NA
20191218,905,0,NA,NA
20191219,905,0,NA,NA
20191220,905,0,NA,NA
20191221,905,0,NA,NA
20191222,905,0,NA,NA
20191223,905,0,NA,NA
20191224,905,0,NA,NA
20191225,905,0,NA,NA
20191226,905,0,NA,NA
20191227,905,0,NA,NA
20191228,905,0,NA,NA
20191229,905,0,NA,NA
20191230,905,0,NA,NA
20191231,905,0,NA,NA
20200101,905,0,NA,NA
20200102,905,0,NA,NA
20200103,905,0,NA,NA
20200104,905,0,NA,NA
20200105,905,0,NA,NA
20200106,905,0,NA,NA
20200107,905,0,NA,NA
20200108,905,0,NA,NA
20200109,905,0,NA,NA
20200110,905,0,NA,NA
20200111,905,0,NA,NA
20200112,905,0,NA,NA
20200113,905,0,NA,NA
20200114,905,0,NA,NA
20200115,905,0,NA,NA
20200116,905,0,NA,NA
20200117,905,0,NA,NA
20200118,905,0,NA,NA
20200119,905,0,NA,NA
20200120,905,0,NA,NA
20200121,905,0,NA,NA
20200122,905,0,NA,NA
20200123,905,0,NA,NA
20200124,905,0,NA,NA
20200125,905,0,NA,NA
20200126,905,0,NA,NA
20200127,905,0,NA,NA
20200128,905,0,NA,NA
20200129,905,0,NA,NA
20200130,905,0,NA,NA
20200131,905,2,NA,NA
20200201,905,2,NA,NA
20200202,905,2,NA,NA
20200203,905,2,NA,NA
20200204,905,2,NA,NA
20200205,905,2,NA,NA
20200206,905,2,NA,NA
20200207,905,3,NA,NA
20200208,905,3,NA,NA
20200209,905,3,NA,NA
20200210,905,8,NA,NA
20200211,905,8,NA,NA
20200212,905,9,NA,NA
20200213,905,9,NA,NA
20200214,905,9,NA,NA
20200215,905,9,NA,NA
20200216,905,9,NA,NA
20200217,905,9,NA,NA
20200218,905,9,NA,NA
20200219,905,9,NA,NA
20200220,905,9,NA,NA
20200221,905,9,NA,NA
20200222,905,9,NA,NA
20200223,905,9,NA,NA
20200224,905,13,NA,NA
20200225,905,13,NA,NA
20200226,905,13,NA,NA
20200227,905,15,NA,NA
20200228,905,20,NA,NA
20200229,905,23,NA,NA
20200301,905,36,NA,NA
20200302,905,40,NA,NA
20200303,905,51,NA,NA
20200304,905,85,NA,NA
20200305,905,115,NA,NA
20200306,905,163,NA,NA
20200307,905,206,NA,NA
20200308,905,273,NA,NA
20200309,905,321,NA,NA
20200310,905,382,NA,NA
20200311,905,456,NA,NA
20200312,905,456,NA,NA
20200313,905,798,NA,NA
20200314,905,1140,NA,NA
20200315,905,1140,NA,NA
20200316,905,1543,NA,NA
20200317,905,1950,NA,NA
20200318,905,2626,NA,NA
20200319,905,2689,NA,NA
20200320,905,3983,NA,NA
20200321,905,5018,NA,NA
20200322,905,5683,NA,NA
20200323,905,6650,NA,NA
20200324,905,8077,NA,NA
20200325,905,9529,NA,NA
20200326,905,11658,NA,NA
20200327,905,14543,NA,NA
20200328,905,17089,NA,NA
20200329,905,19522,NA,NA
20200330,905,22141,NA,NA
20200331,905,25150,NA,NA
20200401,905,29474,NA,NA
20200402,905,33718,NA,NA
20200403,905,38168,NA,NA
20200404,905,41903,NA,NA
20200405,905,47806,NA,NA
20200406,905,51608,NA,NA
20200407,905,55242,NA,NA
20200408,905,60733,NA,NA
20200409,905,65077,NA,NA
20200410,905,73758,NA,NA
20200411,905,78991,NA,NA
20200412,905,84279,NA,NA
20200413,905,88621,NA,NA
20200414,905,93873,NA,NA
20200415,905,98476,NA,NA
20200416,905,103093,NA,NA
20200417,905,108692,NA,NA
20200418,905,114217,NA,NA
20200419,905,120067,NA,NA
20200420,905,124743,NA,NA
20200421,905,129044,NA,NA
20200422,905,133495,NA,NA
20200423,905,138078,NA,NA
20200424,905,143464,NA,NA
20200425,905,148377,NA,NA
20200426,905,152840,NA,NA
20200427,905,157149,NA,NA
20200428,905,161145,NA,NA
20200429,905,165221,NA,NA
20200430,905,171253,NA,NA
20200501,905,177454,NA,NA
20200502,905,182260,NA,NA
20191210,906,0,NA,NA
20191211,906,0,NA,NA
20191212,906,0,NA,NA
20191213,906,0,NA,NA
20191214,906,0,NA,NA
20191215,906,0,NA,NA
20191216,906,0,NA,NA
20191217,906,0,NA,NA
20191218,906,0,NA,NA
20191219,906,0,NA,NA
20191220,906,0,NA,NA
20191221,906,0,NA,NA
20191222,906,0,NA,NA
20191223,906,0,NA,NA
20191224,906,0,NA,NA
20191225,906,0,NA,NA
20191226,906,0,NA,NA
20191227,906,0,NA,NA
20191228,906,0,NA,NA
20191229,906,0,NA,NA
20191230,906,0,NA,NA
20191231,906,0,NA,NA
20200101,906,0,NA,NA
20200102,906,0,NA,NA
20200103,906,0,NA,NA
20200104,906,0,NA,NA
20200105,906,0,NA,NA
20200106,906,0,NA,NA
20200107,906,0,NA,NA
20200108,906,0,NA,NA
20200109,906,0,NA,NA
20200110,906,0,NA,NA
20200111,906,0,NA,NA
20200112,906,0,NA,NA
20200113,906,0,NA,NA
20200114,906,0,NA,NA
20200115,906,0,NA,NA
20200116,906,0,NA,NA
20200117,906,0,NA,NA
20200118,906,0,NA,NA
20200119,906,0,NA,NA
20200120,906,0,NA,NA
20200121,906,0,NA,NA
20200122,906,0,NA,NA
20200123,906,0,NA,NA
20200124,906,0,NA,NA
20200125,906,0,NA,NA
20200126,906,0,NA,NA
20200127,906,1,NA,NA
20200128,906,4,NA,NA
20200129,906,4,NA,NA
20200130,906,4,NA,NA
20200131,906,5,NA,NA
20200201,906,8,NA,NA
20200202,906,10,NA,NA
20200203,906,12,NA,NA
20200204,906,12,NA,NA
20200205,906,12,NA,NA
20200206,906,12,NA,NA
20200207,906,13,NA,NA
20200208,906,13,NA,NA
20200209,906,14,NA,NA
20200210,906,14,NA,NA
